,Unnamed: 0,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,teamId,ppda_cal,allowed_ppda,matchtime,tot_points,round,tot_goal,tot_con,Referee.x,HS.x,HST.x,HF.x,HC.x,HY.x,HR.x,AS.x,AST.x,AF.x,AC.x,AY.x,AR.x,B365H.x,B365D.x,B365A.x,HtrgPerc,AtrgPerc,matchDay,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
0,5,h,1.34099,1.59864,1.34099,1.59864,4,6,1,1,1.0172,d,2019-08-10 15:00:00,0,1,0,1,-0.25765,Bournemouth,13.6,9.13333333333333,15,1,1,1,1,K Friend,13,3,10,3,2,0,8,3,19,4,1,0,1.95,3.6,3.6,0.23076923076923103,0.375,Sat,Bournemouth,observation,1565455800,EGHH,Bournemouth,2019-08-10 15:00:00,D,66.0,28,2890,Mostly Cloudy / Windy,,,57.0,66.0,73.0,29.73,6.0,66.0,250.0,WSW,41.0,29.0,,,,,,Low,66.0,2,,,,,BKN,,,,,,,,,
1,6,a,0.8555159999999999,0.670022,0.8555159999999999,0.670022,5,7,3,0,1.5458,w,2019-08-10 15:00:00,1,0,0,3,0.185494,Brighton,11.5,9.785714285714288,15,3,1,3,0,C Pawson,11,3,15,5,0,0,5,3,11,2,1,0,1.9,3.4,4.0,0.272727272727273,0.6,Sat,Brighton,observation,1565455800,EGKK,London/Gatwick,2019-08-10 15:00:00,D,66.0,28,2890,Mostly Cloudy / Windy,,,55.0,66.0,68.0,29.55,6.0,66.0,230.0,SW,33.0,21.0,,,,,,Low,66.0,2,,,,,BKN,,,,,,,,,
2,7,h,0.909241,1.08752,0.909241,1.08752,0,9,3,0,1.1422,w,2019-08-10 15:00:00,1,0,0,3,-0.178279,Burnley,9.277777777777779,5.5,15,3,1,3,0,G Scott,10,4,6,2,0,0,11,3,12,7,0,0,2.62,3.2,2.75,0.4,0.272727272727273,Sat,Burnley,observation,1565455800,EGNM,Leeds,2019-08-10 15:00:00,D,63.0,11,1101,Light Rain Shower,,,57.0,63.0,82.0,28.7,6.0,63.0,230.0,SW,36.0,20.0,,,,,,Moderate,63.0,3,,,,,SCT,,,,,,,,,
3,13,a,0.639599,2.57262,0.639599,2.57262,2,15,1,3,0.2794,l,2019-08-10 17:30:00,0,0,1,0,-1.9330209999999999,Aston Villa,13.4210526315789,5.25,17,0,1,1,3,C Kavanagh,31,7,13,14,1,0,7,4,9,0,0,0,1.3,5.25,10.0,0.22580645161290303,0.5714285714285711,Sat,Aston Villa,observation,1565464800,EGBB,Birmingham,2019-08-10 17:30:00,D,66.0,30,3000,Partly Cloudy,,,50.0,66.0,56.0,29.3,6.0,66.0,240.0,WSW,25.0,14.0,,,,,,Low,66.0,1,,,,,SCT,,,,,,,,,
4,15,a,1.13309,0.38055100000000003,1.13309,0.38055100000000003,10,1,1,0,2.073,w,2019-08-11 14:00:00,1,0,0,3,0.7525390000000001,Arsenal,11.052631578947402,13.2068965517241,14,3,1,1,0,M Atkinson,9,2,12,5,1,0,8,2,7,3,3,0,4.5,3.75,1.72,0.222222222222222,0.25,Sun,Arsenal,observation,1565538600,EGLC,Newham,2019-08-11 14:00:00,D,72.0,34,3400,Fair,,,52.0,72.0,50.0,29.81,6.0,72.0,230.0,SW,,17.0,,,,,,Moderate,72.0,4,,,,,FEW,,,,,,,,,
5,21,h,1.1644,1.39172,1.1644,1.39172,8,4,2,1,1.1533,w,2019-08-17 12:30:00,1,0,0,3,-0.22732,Arsenal,5.3125,11.3846153846154,12,6,2,3,1,M Dean,16,9,13,10,2,0,18,5,11,7,1,0,1.3,5.5,10.0,0.5625,0.277777777777778,Sat,Arsenal,observation,1566051600,EGLC,Newham,2019-08-17 12:30:00,D,72.0,28,2800,Mostly Cloudy,,,57.0,72.0,60.0,29.66,6.0,72.0,240.0,WSW,,14.0,,,,,,Moderate,72.0,3,,,,,BKN,,,,,,,,,
6,22,a,1.39172,1.1644,1.39172,1.1644,4,8,1,2,1.5631,l,2019-08-17 12:30:00,0,0,1,0,0.22732,Burnley,11.3846153846154,5.3125,12,3,2,4,2,M Dean,16,9,13,10,2,0,18,5,11,7,1,0,1.3,5.5,10.0,0.5625,0.277777777777778,Sat,Burnley,observation,1566051600,EGNM,Leeds,2019-08-17 12:30:00,D,64.0,30,3000,Partly Cloudy,,,46.0,64.0,52.0,28.81,6.0,64.0,250.0,WSW,,20.0,,,,,,Moderate,64.0,4,,,,,SCT,,,,,,,,,
7,23,h,1.6506900000000002,1.6277700000000002,1.6506900000000002,0.866605,12,9,1,2,1.3698,l,2019-08-17 15:00:00,0,0,1,0,0.784085,Aston Villa,13.0,10.72,15,0,2,2,5,M Atkinson,22,7,10,10,0,0,12,4,13,5,2,0,2.3,3.4,3.1,0.31818181818181795,0.33333333333333304,Sat,Aston Villa,observation,1566060600,EGBB,Birmingham,2019-08-17 15:00:00,D,68.0,34,3400,Fair,,,46.0,68.0,46.0,29.27,6.0,68.0,240.0,WSW,,13.0,,,,,,Moderate,68.0,4,,,,,CLR,,,,,,,,,
8,24,a,1.6277700000000002,1.6506900000000002,0.866605,1.6506900000000002,9,12,2,1,1.3578,w,2019-08-17 15:00:00,1,0,0,3,-0.784085,Bournemouth,10.72,13.0,15,4,2,3,2,M Atkinson,22,7,10,10,0,0,12,4,13,5,2,0,2.3,3.4,3.1,0.31818181818181795,0.33333333333333304,Sat,Bournemouth,observation,1566060600,EGHH,Bournemouth,2019-08-17 15:00:00,D,70.0,30,3000,Partly Cloudy,,,57.0,70.0,64.0,29.67,6.0,70.0,230.0,SW,,16.0,,,,,,Moderate,70.0,3,,,,,SCT,,,,,,,,,
9,25,h,2.40461,1.0085600000000001,2.40461,1.0085600000000001,8,4,1,1,2.3339,d,2019-08-17 15:00:00,0,1,0,1,1.39605,Brighton,5.48571428571429,8.87096774193548,15,4,2,4,1,A Taylor,16,4,11,8,0,0,8,3,10,6,2,0,2.55,3.25,2.87,0.25,0.375,Sat,Brighton,observation,1566060600,EGKK,London/Gatwick,2019-08-17 15:00:00,D,68.0,11,1201,Light Rain,,,57.0,68.0,68.0,29.49,6.0,68.0,220.0,SW,,14.0,,,,,,Low,68.0,2,,,,,SCT,,,,,,,,,
