key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
EGLC,observation,1564622400,EGLC,Newham,2019-07-31 23:20:00,N,68,33,3300,Fair,,,55,68,64,29.96,6,68,270.0,W,,9,,,,,,Low,68,0,,,,,CLR,,,,,,,,,
EGLC,observation,1564624200,EGLC,Newham,2019-07-31 23:50:00,N,66,29,2900,Partly Cloudy,,,52,66,60,29.96,6,66,240.0,WSW,,9,,,,,,Low,66,0,,,,,SCT,,,,,,,,,
EGLC,observation,1564626000,EGLC,Newham,2019-08-01 00:20:00,N,66,33,3300,Fair,,,52,66,60,29.96,6,66,250.0,WSW,,10,,,,,,Low,66,0,,,,,FEW,,,,,,,,,
EGLC,observation,1564627800,EGLC,Newham,2019-08-01 00:50:00,N,64,33,3300,Fair,,,52,64,64,29.98,6,64,250.0,WSW,,9,,,,,,Low,64,0,,,,,FEW,,,,,,,,,
EGLC,observation,1564629600,EGLC,Newham,2019-08-01 01:20:00,N,64,33,3300,Fair,,,52,64,64,29.98,6,64,240.0,WSW,,8,,,,,,Low,64,0,,,,,CLR,,,,,,,,,
EGLC,observation,1564631400,EGLC,Newham,2019-08-01 01:50:00,N,64,33,3300,Fair,,,52,64,64,29.98,6,64,230.0,SW,,9,,,,,,Low,64,0,,,,,CLR,,,,,,,,,
EGLC,observation,1564633200,EGLC,Newham,2019-08-01 02:20:00,N,63,29,2900,Partly Cloudy,,,54,63,72,29.98,6,63,230.0,SW,,8,,,,,,Low,63,0,,,,,SCT,,,,,,,,,
EGLC,observation,1564635000,EGLC,Newham,2019-08-01 02:50:00,N,63,29,2900,Partly Cloudy,,,52,63,68,29.98,6,63,220.0,SW,,8,,,,,,Low,63,0,,,,,SCT,,,,,,,,,
EGLC,observation,1564636800,EGLC,Newham,2019-08-01 03:20:00,N,63,27,2700,Mostly Cloudy,,,54,63,72,29.98,6,63,240.0,WSW,,7,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGLC,observation,1564638600,EGLC,Newham,2019-08-01 03:50:00,N,63,27,2700,Mostly Cloudy,,,54,63,72,29.98,6,63,240.0,WSW,,9,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
