key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
EGBB,observation,1564622400,EGBB,Birmingham,2019-07-31 23:20:00,N,61,29,2900,Partly Cloudy,,,57,61,88,29.62,6.0,61,280.0,W,,6,,,,,,Low,61,0,,,,,SCT,,,,,,,,,
EGBB,observation,1564624200,EGBB,Birmingham,2019-07-31 23:50:00,N,63,29,2900,Partly Cloudy,,,57,63,82,29.65,6.0,63,300.0,WNW,,7,,,,,,Low,63,0,,,,,SCT,,,,,,,,,
EGBB,observation,1564626000,EGBB,Birmingham,2019-08-01 00:20:00,N,61,27,2700,Mostly Cloudy,,,57,61,88,29.65,6.0,61,,VAR,,3,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGBB,observation,1564627800,EGBB,Birmingham,2019-08-01 00:50:00,N,61,27,2700,Mostly Cloudy,,,57,61,88,29.65,6.0,61,,VAR,,3,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGBB,observation,1564629600,EGBB,Birmingham,2019-08-01 01:20:00,N,61,27,2700,Mostly Cloudy,,,57,61,88,29.65,6.0,61,300.0,WNW,,8,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGBB,observation,1564631400,EGBB,Birmingham,2019-08-01 01:50:00,N,61,27,2700,Mostly Cloudy,,,57,61,88,29.65,6.0,61,300.0,WNW,,7,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGBB,observation,1564633200,EGBB,Birmingham,2019-08-01 02:20:00,N,61,27,2700,Mostly Cloudy,,,55,61,82,29.65,6.0,61,310.0,NW,,10,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGBB,observation,1564635000,EGBB,Birmingham,2019-08-01 02:50:00,N,61,27,2700,Mostly Cloudy,,,55,61,82,29.65,6.0,61,300.0,WNW,,10,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGBB,observation,1564636800,EGBB,Birmingham,2019-08-01 03:20:00,N,61,27,2700,Mostly Cloudy,,,57,61,88,29.65,6.0,61,300.0,WNW,,7,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGBB,observation,1564638600,EGBB,Birmingham,2019-08-01 03:50:00,N,61,27,2700,Mostly Cloudy,,,57,61,88,29.65,6.0,61,300.0,WNW,,8,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
