key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
EGHH,observation,1564622400,EGHH,Bournemouth,2019-07-31 23:20:00,N,57,33,3300,Fair,,,48,57,72,29.99,6.0,57,250.0,WSW,,3,,,,,,Low,57,0,,,,,FEW,,,,,,,,,
EGHH,observation,1564642200,EGHH,Bournemouth,2019-08-01 04:50:00,D,50,34,3400,Fair,,,48,50,94,29.99,6.0,50,300.0,WNW,,1,,,,,,Low,50,0,,,,,CLR,,,,,,,,,
EGHH,observation,1564644000,EGHH,Bournemouth,2019-08-01 05:20:00,D,52,34,3400,Fair,,,50,52,94,29.99,6.0,52,330.0,NNW,,1,,,,,,Low,52,0,,,,,CLR,,,,,,,,,
EGHH,observation,1564645800,EGHH,Bournemouth,2019-08-01 05:50:00,D,54,34,3400,Fair,,,52,54,94,30.02,6.0,54,360.0,N,,2,,,,,,Low,54,0,,,,,CLR,,,,,,,,,
EGHH,observation,1564647600,EGHH,Bournemouth,2019-08-01 06:20:00,D,55,34,3400,Fair,,,54,55,94,29.99,6.0,55,330.0,NNW,,1,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
EGHH,observation,1564649400,EGHH,Bournemouth,2019-08-01 06:50:00,D,61,34,3400,Fair,,,55,61,82,30.02,6.0,61,270.0,W,,1,,,,,,Low,61,1,,,,,CLR,,,,,,,,,
EGHH,observation,1564651200,EGHH,Bournemouth,2019-08-01 07:20:00,D,61,34,3400,Fair,,,55,61,82,29.99,6.0,61,10.0,N,,2,,,,,,Low,61,1,,,,,CLR,,,,,,,,,
EGHH,observation,1564653000,EGHH,Bournemouth,2019-08-01 07:50:00,D,63,34,3400,Fair,,,57,63,82,29.99,6.0,63,,VAR,,3,,,,,,Low,63,2,,,,,CLR,,,,,,,,,
EGHH,observation,1564654800,EGHH,Bournemouth,2019-08-01 08:20:00,D,64,28,2800,Mostly Cloudy,,,57,64,77,29.99,6.0,64,360.0,N,,7,,,,,,Low,64,1,,,,,BKN,,,,,,,,,
EGHH,observation,1564656600,EGHH,Bournemouth,2019-08-01 08:50:00,D,66,30,3000,Partly Cloudy,,,57,66,73,29.99,6.0,66,10.0,N,,6,,,,,,Low,66,2,,,,,SCT,,,,,,,,,
EGHH,observation,1564658400,EGHH,Bournemouth,2019-08-01 09:20:00,D,68,30,3000,Partly Cloudy,,,57,68,68,29.99,6.0,68,,VAR,,5,,,,,,Moderate,68,3,,,,,SCT,,,,,,,,,
EGHH,observation,1564660200,EGHH,Bournemouth,2019-08-01 09:50:00,D,68,30,3000,Partly Cloudy,,,57,68,68,30.02,6.0,68,,VAR,,2,,,,,,Moderate,68,3,,,,,SCT,,,,,,,,,
EGHH,observation,1564662000,EGHH,Bournemouth,2019-08-01 10:20:00,D,70,30,3000,Partly Cloudy,,,55,70,60,30.02,6.0,70,,VAR,,2,,,,,,Moderate,70,4,,,,,SCT,,,,,,,,,
EGHH,observation,1564663800,EGHH,Bournemouth,2019-08-01 10:50:00,D,70,28,2800,Mostly Cloudy,,,57,70,64,30.02,6.0,70,,VAR,,3,,,,,,Moderate,70,3,,,,,BKN,,,,,,,,,
EGHH,observation,1564665600,EGHH,Bournemouth,2019-08-01 11:20:00,D,70,28,2800,Mostly Cloudy,,,59,70,68,30.02,6.0,70,220.0,SW,,5,,,,,,Moderate,70,4,,,,,BKN,,,,,,,,,
EGHH,observation,1564667400,EGHH,Bournemouth,2019-08-01 11:50:00,D,70,28,2800,Mostly Cloudy,,,57,70,64,30.02,6.0,70,150.0,SSE,,3,,,,,,Moderate,70,4,,,,,BKN,,,,,,,,,
EGHH,observation,1564669200,EGHH,Bournemouth,2019-08-01 12:20:00,D,68,28,2800,Mostly Cloudy,,,57,68,68,30.02,6.0,68,180.0,S,,7,,,,,,Moderate,68,4,,,,,BKN,,,,,,,,,
EGHH,observation,1564671000,EGHH,Bournemouth,2019-08-01 12:50:00,D,70,28,2800,Mostly Cloudy,,,59,70,68,30.02,6.0,70,240.0,WSW,,6,,,,,,Moderate,70,4,,,,,BKN,,,,,,,,,
EGHH,observation,1564672800,EGHH,Bournemouth,2019-08-01 13:20:00,D,70,28,2800,Mostly Cloudy,,,57,70,64,30.02,6.0,70,,VAR,,3,,,,,,Moderate,70,3,,,,,BKN,,,,,,,,,
EGHH,observation,1564674600,EGHH,Bournemouth,2019-08-01 13:50:00,D,72,30,3000,Partly Cloudy,,,59,72,64,30.02,6.0,72,,VAR,,2,,,,,,Moderate,72,4,,,,,SCT,,,,,,,,,
EGHH,observation,1564676400,EGHH,Bournemouth,2019-08-01 14:20:00,D,73,30,3000,Partly Cloudy,,,59,73,61,29.99,6.0,73,,VAR,,5,,,,,,Moderate,73,4,,,,,SCT,,,,,,,,,
EGHH,observation,1564678200,EGHH,Bournemouth,2019-08-01 14:50:00,D,72,30,3090,Partly Cloudy / Windy,,,59,72,64,29.99,6.0,72,170.0,S,,62,,,,,,Moderate,72,3,,,,,SCT,,,,,,,,,
EGHH,observation,1564680000,EGHH,Bournemouth,2019-08-01 15:20:00,D,70,30,3000,Partly Cloudy,,,59,70,68,29.99,6.0,70,180.0,S,,8,,,,,,Moderate,70,3,,,,,SCT,,,,,,,,,
EGHH,observation,1564681800,EGHH,Bournemouth,2019-08-01 15:50:00,D,72,30,3000,Partly Cloudy,,,59,72,64,29.99,6.0,72,200.0,SSW,,7,,,,,,Low,72,2,,,,,SCT,,,,,,,,,
EGHH,observation,1564683600,EGHH,Bournemouth,2019-08-01 16:20:00,D,72,34,3400,Fair,,,61,72,69,29.99,6.0,72,180.0,S,,8,,,,,,Low,72,2,,,,,FEW,,,,,,,,,
EGHH,observation,1564685400,EGHH,Bournemouth,2019-08-01 16:50:00,D,73,34,3400,Fair,,,61,73,65,29.99,6.0,73,200.0,SSW,,8,,,,,,Low,73,1,,,,,FEW,,,,,,,,,
EGHH,observation,1564687200,EGHH,Bournemouth,2019-08-01 17:20:00,D,72,34,3400,Fair,,,59,72,64,29.99,6.0,72,240.0,WSW,,9,,,,,,Low,72,1,,,,,FEW,,,,,,,,,
EGHH,observation,1564689000,EGHH,Bournemouth,2019-08-01 17:50:00,D,70,34,3400,Fair,,,59,70,68,29.99,6.0,70,240.0,WSW,,8,,,,,,Low,70,0,,,,,FEW,,,,,,,,,
EGHH,observation,1564690800,EGHH,Bournemouth,2019-08-01 18:20:00,D,70,34,3400,Fair,,,59,70,68,29.99,6.0,70,240.0,WSW,,8,,,,,,Low,70,0,,,,,FEW,,,,,,,,,
EGHH,observation,1564692600,EGHH,Bournemouth,2019-08-01 18:50:00,D,68,34,3400,Fair,,,59,68,73,29.99,6.0,68,250.0,WSW,,6,,,,,,Low,68,0,,,,,FEW,,,,,,,,,
EGHH,observation,1564694400,EGHH,Bournemouth,2019-08-01 19:20:00,D,66,34,3400,Fair,,,59,66,78,29.99,6.0,66,240.0,WSW,,5,,,,,,Low,66,0,,,,,FEW,,,,,,,,,
EGHH,observation,1564696200,EGHH,Bournemouth,2019-08-01 19:50:00,D,64,34,3400,Fair,,,57,64,77,29.99,6.0,64,280.0,W,,6,,,,,,Low,64,0,,,,,FEW,,,,,,,,,
EGHH,observation,1564698000,EGHH,Bournemouth,2019-08-01 20:20:00,N,63,33,3300,Fair,,,57,63,82,30.02,6.0,63,280.0,W,,5,,,,,,Low,63,0,,,,,FEW,,,,,,,,,
EGHH,observation,1564699800,EGHH,Bournemouth,2019-08-01 20:50:00,N,63,33,3300,Fair,,,59,63,88,30.02,6.0,63,260.0,W,,2,,,,,,Low,63,0,,,,,CLR,,,,,,,,,
EGHH,observation,1564701600,EGHH,Bournemouth,2019-08-01 21:20:00,N,63,33,3300,Fair,,,57,63,82,30.02,6.0,63,310.0,NW,,5,,,,,,Low,63,0,,,,,CLR,,,,,,,,,
EGHH,observation,1564728600,EGHH,Bournemouth,2019-08-02 04:50:00,D,55,20,2021,Shallow Fog,,,55,55,100,30.02,6.0,55,,VAR,,2,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
EGHH,observation,1564730400,EGHH,Bournemouth,2019-08-02 05:20:00,D,55,20,2021,Shallow Fog,,,55,55,100,30.02,6.0,55,,VAR,,2,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
EGHH,observation,1564732200,EGHH,Bournemouth,2019-08-02 05:50:00,D,59,34,3400,Fair,,,59,59,100,30.02,6.0,59,10.0,N,,5,,,,,,Low,59,0,,,,,CLR,,,,,,,,,
