key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
EGKK,observation,1564622400,EGKK,London/Gatwick,2019-07-31 23:20:00,N,61,33,3300,Fair,,,59,61,94,29.78,6,61,230.0,SW,,7,,,,,,Low,61,0,,,,,FEW,,,,,,,,,
EGKK,observation,1564624200,EGKK,London/Gatwick,2019-07-31 23:50:00,N,61,33,3300,Fair,,,59,61,94,29.78,6,61,230.0,SW,,7,,,,,,Low,61,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564626000,EGKK,London/Gatwick,2019-08-01 00:20:00,N,59,33,3300,Fair,,,59,59,100,29.78,6,59,230.0,SW,,7,,,,,,Low,59,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564627800,EGKK,London/Gatwick,2019-08-01 00:50:00,N,59,33,3300,Fair,,,57,59,94,29.78,6,59,250.0,WSW,,7,,,,,,Low,59,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564629600,EGKK,London/Gatwick,2019-08-01 01:20:00,N,57,33,3300,Fair,,,55,57,94,29.78,6,57,220.0,SW,,3,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564631400,EGKK,London/Gatwick,2019-08-01 01:50:00,N,57,33,3300,Fair,,,55,57,94,29.78,6,57,210.0,SSW,,5,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564633200,EGKK,London/Gatwick,2019-08-01 02:20:00,N,57,33,3300,Fair,,,55,57,94,29.78,6,57,210.0,SSW,,3,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564635000,EGKK,London/Gatwick,2019-08-01 02:50:00,N,55,33,3300,Fair,,,54,55,94,29.78,6,55,200.0,SSW,,3,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564636800,EGKK,London/Gatwick,2019-08-01 03:20:00,N,55,33,3300,Fair,,,54,55,94,29.78,6,55,230.0,SW,,2,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564638600,EGKK,London/Gatwick,2019-08-01 03:50:00,N,55,33,3300,Fair,,,54,55,94,29.78,6,55,200.0,SSW,,3,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564640400,EGKK,London/Gatwick,2019-08-01 04:20:00,D,54,34,3400,Fair,,,52,54,94,29.81,6,54,220.0,SW,,2,,,,,,Low,54,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564642200,EGKK,London/Gatwick,2019-08-01 04:50:00,D,55,34,3400,Fair,,,54,55,94,29.81,6,55,220.0,SW,,5,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564644000,EGKK,London/Gatwick,2019-08-01 05:20:00,D,55,34,3400,Fair,,,54,55,94,29.81,6,55,230.0,SW,,5,,,,,,Low,55,0,,,,,CLR,,,,,,,,,
EGKK,observation,1564645800,EGKK,London/Gatwick,2019-08-01 05:50:00,D,57,34,3400,Fair,,,55,57,94,29.81,6,57,220.0,SW,,3,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
