key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
EGNM,observation,1564622400,EGNM,Leeds,2019-07-31 23:20:00,N,59,33,3300,Fair,,,55,59,88,29.22,6.0,59,320.0,NW,,9,,,,,,Low,59,0,,,,,FEW,,,,,,,,,
EGNM,observation,1564624200,EGNM,Leeds,2019-07-31 23:50:00,N,59,33,3300,Fair,,,55,59,88,29.22,6.0,59,320.0,NW,,9,,,,,,Low,59,0,,,,,FEW,,,,,,,,,
EGNM,observation,1564626000,EGNM,Leeds,2019-08-01 00:20:00,N,59,33,3300,Fair,,,55,59,88,29.24,6.0,59,320.0,NW,,8,,,,,,Low,59,0,,,,,FEW,,,,,,,,,
EGNM,observation,1564627800,EGNM,Leeds,2019-08-01 00:50:00,N,57,33,3300,Fair,,,55,57,94,29.24,6.0,57,270.0,W,,7,,,,,,Low,57,0,,,,,FEW,,,,,,,,,
EGNM,observation,1564629600,EGNM,Leeds,2019-08-01 01:20:00,N,57,33,3300,Fair,,,55,57,94,29.24,6.0,57,270.0,W,,7,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
EGNM,observation,1564631400,EGNM,Leeds,2019-08-01 01:50:00,N,57,33,3300,Fair,,,55,57,94,29.24,6.0,57,290.0,WNW,,7,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
EGNM,observation,1564633200,EGNM,Leeds,2019-08-01 02:20:00,N,59,33,3300,Fair,,,55,59,88,29.24,6.0,59,310.0,NW,,10,,,,,,Low,59,0,,,,,CLR,,,,,,,,,
EGNM,observation,1564635000,EGNM,Leeds,2019-08-01 02:50:00,N,57,33,3300,Fair,,,55,57,94,29.24,6.0,57,280.0,W,,7,,,,,,Low,57,0,,,,,CLR,,,,,,,,,
EGNM,observation,1564636800,EGNM,Leeds,2019-08-01 03:20:00,N,57,33,3300,Fair,,,55,57,94,29.24,6.0,57,310.0,NW,,10,,,,,,Low,57,0,,,,,FEW,,,,,,,,,
EGNM,observation,1564638600,EGNM,Leeds,2019-08-01 03:50:00,N,57,33,3300,Fair,,,55,57,94,29.24,6.0,57,320.0,NW,,9,,,,,,Low,57,0,,,,,FEW,,,,,,,,,
EGNM,observation,1564640400,EGNM,Leeds,2019-08-01 04:20:00,D,57,34,3400,Fair,,,55,57,94,29.27,6.0,57,310.0,NW,,8,,,,,,Low,57,0,,,,,FEW,,,,,,,,,
EGNM,observation,1564642200,EGNM,Leeds,2019-08-01 04:50:00,D,57,30,3000,Partly Cloudy,,,55,57,94,29.27,6.0,57,270.0,W,,7,,,,,,Low,57,0,,,,,SCT,,,,,,,,,
EGNM,observation,1564644000,EGNM,Leeds,2019-08-01 05:20:00,D,59,30,3000,Partly Cloudy,,,55,59,88,29.27,6.0,59,310.0,NW,,7,,,,,,Low,59,0,,,,,SCT,,,,,,,,,
EGNM,observation,1564645800,EGNM,Leeds,2019-08-01 05:50:00,D,59,34,3400,Fair,,,55,59,88,29.27,6.0,59,310.0,NW,,12,,,,,,Low,59,0,,,,,FEW,,,,,,,,,
EGNM,observation,1564647600,EGNM,Leeds,2019-08-01 06:20:00,D,61,34,3400,Fair,,,55,61,82,29.3,6.0,61,290.0,WNW,,7,,,,,,Low,61,0,,,,,FEW,,,,,,,,,
EGNM,observation,1564649400,EGNM,Leeds,2019-08-01 06:50:00,D,61,30,3000,Partly Cloudy,,,57,61,88,29.3,6.0,61,300.0,WNW,,9,,,,,,Low,61,1,,,,,SCT,,,,,,,,,
EGNM,observation,1564651200,EGNM,Leeds,2019-08-01 07:20:00,D,63,30,3000,Partly Cloudy,,,57,63,82,29.3,6.0,63,310.0,NW,,9,,,,,,Low,63,1,,,,,SCT,,,,,,,,,
EGNM,observation,1564653000,EGNM,Leeds,2019-08-01 07:50:00,D,64,30,3000,Partly Cloudy,,,59,64,83,29.3,6.0,64,320.0,NW,,12,,,,,,Low,64,1,,,,,SCT,,,,,,,,,
EGNM,observation,1564654800,EGNM,Leeds,2019-08-01 08:20:00,D,64,30,3000,Partly Cloudy,,,57,64,77,29.3,6.0,64,330.0,NNW,,10,,,,,,Low,64,2,,,,,SCT,,,,,,,,,
EGNM,observation,1564656600,EGNM,Leeds,2019-08-01 08:50:00,D,66,30,3000,Partly Cloudy,,,57,66,73,29.3,6.0,66,350.0,N,,10,,,,,,Low,66,2,,,,,SCT,,,,,,,,,
EGNM,observation,1564658400,EGNM,Leeds,2019-08-01 09:20:00,D,66,30,3000,Partly Cloudy,,,57,66,73,29.3,6.0,66,360.0,N,,10,,,,,,Moderate,66,3,,,,,SCT,,,,,,,,,
