key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
EGGP,observation,1564622400,EGGP,Liverpool,2019-07-31 23:20:00,N,63,27,2700,Mostly Cloudy,,,59,63,88,29.91,6,63,290.0,WNW,,13,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564624200,EGGP,Liverpool,2019-07-31 23:50:00,N,63,27,2700,Mostly Cloudy,,,59,63,88,29.91,6,63,290.0,WNW,,12,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564626000,EGGP,Liverpool,2019-08-01 00:20:00,N,63,27,2700,Mostly Cloudy,,,59,63,88,29.91,6,63,290.0,WNW,,13,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564627800,EGGP,Liverpool,2019-08-01 00:50:00,N,63,27,2700,Mostly Cloudy,,,59,63,88,29.91,6,63,290.0,WNW,,13,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564629600,EGGP,Liverpool,2019-08-01 01:20:00,N,63,27,2700,Mostly Cloudy,,,61,63,94,29.91,6,63,290.0,WNW,,15,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564631400,EGGP,Liverpool,2019-08-01 01:50:00,N,63,27,2700,Mostly Cloudy,,,61,63,94,29.91,6,63,290.0,WNW,,14,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564633200,EGGP,Liverpool,2019-08-01 02:20:00,N,63,27,2700,Mostly Cloudy,,,61,63,94,29.91,6,63,290.0,WNW,,13,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564635000,EGGP,Liverpool,2019-08-01 02:50:00,N,63,27,2700,Mostly Cloudy,,,61,63,94,29.91,6,63,290.0,WNW,,12,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564636800,EGGP,Liverpool,2019-08-01 03:20:00,N,63,27,2700,Mostly Cloudy,,,61,63,94,29.91,6,63,280.0,W,,13,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564638600,EGGP,Liverpool,2019-08-01 03:50:00,N,63,27,2700,Mostly Cloudy,,,61,63,94,29.91,6,63,280.0,W,,14,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564640400,EGGP,Liverpool,2019-08-01 04:20:00,D,63,28,2800,Mostly Cloudy,,,61,63,94,29.91,5,63,270.0,W,,13,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564642200,EGGP,Liverpool,2019-08-01 04:50:00,D,63,11,1201,Light Rain,,,61,63,94,29.94,5,63,270.0,W,,13,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564644000,EGGP,Liverpool,2019-08-01 05:20:00,D,61,11,1201,Light Rain,,,61,61,100,29.94,4,61,280.0,W,,12,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564645800,EGGP,Liverpool,2019-08-01 05:50:00,D,63,11,1201,Light Rain,,,61,63,94,29.94,4,63,290.0,WNW,,12,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564647600,EGGP,Liverpool,2019-08-01 06:20:00,D,63,11,1201,Light Rain,,,61,63,94,29.94,4,63,290.0,WNW,,10,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564649400,EGGP,Liverpool,2019-08-01 06:50:00,D,64,11,1201,Light Rain,,,63,64,94,29.94,4,64,280.0,W,,10,,,,,,Low,64,0,,,,,BKN,,,,,,,,,
EGGP,observation,1564651200,EGGP,Liverpool,2019-08-01 07:20:00,D,63,28,2800,Mostly Cloudy,,,63,63,100,29.97,6,63,270.0,W,,9,,,,,,Low,63,1,,,,,BKN,,,,,,,,,
EGGP,observation,1564653000,EGGP,Liverpool,2019-08-01 07:50:00,D,64,28,2880,Showers in the Vicinity,,,63,64,94,29.97,6,64,290.0,WNW,,8,,,,,,Low,64,1,,,,,BKN,,,,,,,,,
EGGP,observation,1564654800,EGGP,Liverpool,2019-08-01 08:20:00,D,64,28,2880,Showers in the Vicinity,,,63,64,94,29.97,6,64,300.0,WNW,,8,,,,,,Low,64,1,,,,,BKN,,,,,,,,,
