key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
EGNX,observation,1564622400,EGNX,East Midlands,2019-07-31 23:20:00,N,61,29,2900,Partly Cloudy,,,59,61,94,29.64,6.0,61,260.0,W,,14,,,,,,Low,61,0,,,,,SCT,,,,,,,,,
EGNX,observation,1564624200,EGNX,East Midlands,2019-07-31 23:50:00,N,61,29,2900,Partly Cloudy,,,59,61,94,29.64,6.0,61,270.0,W,,14,,,,,,Low,61,0,,,,,SCT,,,,,,,,,
EGNX,observation,1564626000,EGNX,East Midlands,2019-08-01 00:20:00,N,59,29,2900,Partly Cloudy,,,59,59,100,29.64,6.0,59,270.0,W,,13,,,,,,Low,59,0,,,,,SCT,,,,,,,,,
EGNX,observation,1564627800,EGNX,East Midlands,2019-08-01 00:50:00,N,59,29,2900,Partly Cloudy,,,59,59,100,29.64,6.0,59,270.0,W,,12,,,,,,Low,59,0,,,,,SCT,,,,,,,,,
EGNX,observation,1564629600,EGNX,East Midlands,2019-08-01 01:20:00,N,59,29,2900,Partly Cloudy,,,59,59,100,29.64,6.0,59,270.0,W,,12,,,,,,Low,59,0,,,,,SCT,,,,,,,,,
EGNX,observation,1564631400,EGNX,East Midlands,2019-08-01 01:50:00,N,59,27,2700,Mostly Cloudy,,,59,59,100,29.64,6.0,59,280.0,W,,12,,,,,,Low,59,0,,,,,BKN,,,,,,,,,
EGNX,observation,1564633200,EGNX,East Midlands,2019-08-01 02:20:00,N,59,27,2700,Mostly Cloudy,,,59,59,100,29.64,6.0,59,280.0,W,,12,,,,,,Low,59,0,,,,,BKN,,,,,,,,,
EGNX,observation,1564636800,EGNX,East Midlands,2019-08-01 03:20:00,N,59,29,2900,Partly Cloudy,,,59,59,100,29.64,6.0,59,270.0,W,,10,,,,,,Low,59,0,,,,,SCT,,,,,,,,,
EGNX,observation,1564638600,EGNX,East Midlands,2019-08-01 03:50:00,N,59,27,2700,Mostly Cloudy,,,59,59,100,29.64,6.0,59,260.0,W,,10,,,,,,Low,59,0,,,,,BKN,,,,,,,,,
EGNX,observation,1564640400,EGNX,East Midlands,2019-08-01 04:20:00,D,59,28,2800,Mostly Cloudy,,,59,59,100,29.67,4.0,59,270.0,W,,13,,,,,,Low,59,0,,,,,BKN,,,,,,,,,
EGNX,observation,1564642200,EGNX,East Midlands,2019-08-01 04:50:00,D,59,30,3000,Partly Cloudy,,,57,59,94,29.67,4.0,59,270.0,W,,12,,,,,,Low,59,0,,,,,SCT,,,,,,,,,
EGNX,observation,1564644000,EGNX,East Midlands,2019-08-01 05:20:00,D,59,30,3000,Partly Cloudy,,,59,59,100,29.67,4.0,59,270.0,W,,10,,,,,,Low,59,0,,,,,SCT,,,,,,,,,
EGNX,observation,1564645800,EGNX,East Midlands,2019-08-01 05:50:00,D,61,30,3000,Partly Cloudy,,,59,61,94,29.67,4.0,61,270.0,W,,12,,,,,,Low,61,0,,,,,SCT,,,,,,,,,
EGNX,observation,1564647600,EGNX,East Midlands,2019-08-01 06:20:00,D,61,28,2800,Mostly Cloudy,,,59,61,94,29.7,4.0,61,280.0,W,,8,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGNX,observation,1564649400,EGNX,East Midlands,2019-08-01 06:50:00,D,61,28,2800,Mostly Cloudy,,,61,61,100,29.7,6.0,61,280.0,W,,8,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGNX,observation,1564651200,EGNX,East Midlands,2019-08-01 07:20:00,D,63,28,2800,Mostly Cloudy,,,61,63,94,29.7,5.0,63,280.0,W,,9,,,,,,Low,63,1,,,,,BKN,,,,,,,,,
EGNX,observation,1564653000,EGNX,East Midlands,2019-08-01 07:50:00,D,63,28,2800,Mostly Cloudy,,,61,63,94,29.7,6.0,63,290.0,WNW,,6,,,,,,Low,63,1,,,,,BKN,,,,,,,,,
EGNX,observation,1564654800,EGNX,East Midlands,2019-08-01 08:20:00,D,64,28,2800,Mostly Cloudy,,,61,64,88,29.7,6.0,64,310.0,NW,,8,,,,,,Low,64,1,,,,,BKN,,,,,,,,,
EGNX,observation,1564656600,EGNX,East Midlands,2019-08-01 08:50:00,D,64,28,2800,Mostly Cloudy,,,59,64,83,29.7,6.0,64,340.0,NNW,,8,,,,,,Low,64,2,,,,,BKN,,,,,,,,,
EGNX,observation,1564658400,EGNX,East Midlands,2019-08-01 09:20:00,D,66,28,2800,Mostly Cloudy,,,59,66,78,29.7,6.0,66,330.0,NNW,,8,,,,,,Low,66,2,,,,,BKN,,,,,,,,,
EGNX,observation,1564660200,EGNX,East Midlands,2019-08-01 09:50:00,D,66,28,2800,Mostly Cloudy,,,61,66,83,29.7,6.0,66,340.0,NNW,,7,,,,,,Low,66,2,,,,,BKN,,,,,,,,,
EGNX,observation,1564662000,EGNX,East Midlands,2019-08-01 10:20:00,D,68,28,2800,Mostly Cloudy,,,61,68,78,29.7,6.0,68,330.0,NNW,,7,,,,,,Moderate,68,3,,,,,BKN,,,,,,,,,
EGNX,observation,1564663800,EGNX,East Midlands,2019-08-01 10:50:00,D,68,30,3000,Partly Cloudy,,,61,68,78,29.7,6.0,68,310.0,NW,,8,,,,,,Moderate,68,4,,,,,SCT,,,,,,,,,
EGNX,observation,1564665600,EGNX,East Midlands,2019-08-01 11:20:00,D,70,30,3000,Partly Cloudy,,,59,70,68,29.7,6.0,70,330.0,NNW,,7,,,,,,Moderate,70,4,,,,,SCT,,,,,,,,,
EGNX,observation,1564667400,EGNX,East Midlands,2019-08-01 11:50:00,D,72,30,3000,Partly Cloudy,,,59,72,64,29.7,6.0,72,350.0,N,,6,,,,,,Moderate,72,5,,,,,SCT,,,,,,,,,
EGNX,observation,1564669200,EGNX,East Midlands,2019-08-01 12:20:00,D,70,28,2800,Mostly Cloudy,,,59,70,68,29.7,6.0,70,330.0,NNW,,8,,,,,,Moderate,70,4,,,,,BKN,,,,,,,,,
EGNX,observation,1564671000,EGNX,East Midlands,2019-08-01 12:50:00,D,72,28,2800,Mostly Cloudy,,,59,72,64,29.7,6.0,72,310.0,NW,,7,,,,,,Moderate,72,3,,,,,BKN,,,,,,,,,
EGNX,observation,1564672800,EGNX,East Midlands,2019-08-01 13:20:00,D,72,30,3000,Partly Cloudy,,,57,72,60,29.7,6.0,72,340.0,NNW,,7,,,,,,Moderate,72,4,,,,,SCT,,,,,,,,,
