key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
EGCC,observation,1564622400,EGCC,Manchester,2019-07-31 23:20:00,N,63,26,2600,Cloudy,,,59,63,88,29.7,6.0,63,290.0,WNW,,8,,,,,,Low,63,0,,,,,OVC,,,,,,,,,
EGCC,observation,1564624200,EGCC,Manchester,2019-07-31 23:50:00,N,63,26,2600,Cloudy,,,59,63,88,29.7,6.0,63,280.0,W,,9,,,,,,Low,63,0,,,,,OVC,,,,,,,,,
EGCC,observation,1564626000,EGCC,Manchester,2019-08-01 00:20:00,N,61,27,2700,Mostly Cloudy,,,59,61,94,29.7,6.0,61,280.0,W,,9,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGCC,observation,1564627800,EGCC,Manchester,2019-08-01 00:50:00,N,61,27,2700,Mostly Cloudy,,,59,61,94,29.7,6.0,61,270.0,W,,8,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGCC,observation,1564629600,EGCC,Manchester,2019-08-01 01:20:00,N,61,26,2600,Cloudy,,,59,61,94,29.73,6.0,61,260.0,W,,7,,,,,,Low,61,0,,,,,OVC,,,,,,,,,
EGCC,observation,1564631400,EGCC,Manchester,2019-08-01 01:50:00,N,61,26,2600,Cloudy,,,59,61,94,29.73,6.0,61,280.0,W,,6,,,,,,Low,61,0,,,,,OVC,,,,,,,,,
EGCC,observation,1564633200,EGCC,Manchester,2019-08-01 02:20:00,N,61,26,2600,Cloudy,,,59,61,94,29.73,6.0,61,290.0,WNW,,6,,,,,,Low,61,0,,,,,OVC,,,,,,,,,
EGCC,observation,1564635000,EGCC,Manchester,2019-08-01 02:50:00,N,61,27,2700,Mostly Cloudy,,,59,61,94,29.73,6.0,61,280.0,W,,6,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGCC,observation,1564636800,EGCC,Manchester,2019-08-01 03:20:00,N,61,26,2600,Cloudy,,,61,61,100,29.73,6.0,61,280.0,W,,5,,,,,,Low,61,0,,,,,OVC,,,,,,,,,
EGCC,observation,1564638600,EGCC,Manchester,2019-08-01 03:50:00,N,61,27,2700,Mostly Cloudy,,,59,61,94,29.73,6.0,61,290.0,WNW,,6,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
