key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
EGSH,observation,1564622400,EGSH,Norwich,2019-07-31 23:20:00,N,63,27,2700,Mostly Cloudy,,,57,63,82,29.79,6.0,63,250.0,WSW,,12,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGSH,observation,1564624200,EGSH,Norwich,2019-07-31 23:50:00,N,63,26,2600,Cloudy,,,59,63,88,29.79,6.0,63,250.0,WSW,,12,,,,,,Low,63,0,,,,,OVC,,,,,,,,,
EGSH,observation,1564626000,EGSH,Norwich,2019-08-01 00:20:00,N,63,27,2700,Mostly Cloudy,,,59,63,88,29.79,6.0,63,250.0,WSW,,10,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGSH,observation,1564627800,EGSH,Norwich,2019-08-01 00:50:00,N,63,26,2600,Cloudy,,,59,63,88,29.79,6.0,63,250.0,WSW,,9,,,,,,Low,63,0,,,,,OVC,,,,,,,,,
EGSH,observation,1564629600,EGSH,Norwich,2019-08-01 01:20:00,N,63,26,2600,Cloudy,,,59,63,88,29.79,6.0,63,250.0,WSW,,10,,,,,,Low,63,0,,,,,OVC,,,,,,,,,
EGSH,observation,1564631400,EGSH,Norwich,2019-08-01 01:50:00,N,63,26,2600,Cloudy,,,59,63,88,29.82,6.0,63,250.0,WSW,,13,,,,,,Low,63,0,,,,,OVC,,,,,,,,,
EGSH,observation,1564633200,EGSH,Norwich,2019-08-01 02:20:00,N,63,26,2600,Cloudy,,,59,63,88,29.82,6.0,63,260.0,W,,13,,,,,,Low,63,0,,,,,OVC,,,,,,,,,
EGSH,observation,1564635000,EGSH,Norwich,2019-08-01 02:50:00,N,63,26,2600,Cloudy,,,59,63,88,29.82,6.0,63,250.0,WSW,,12,,,,,,Low,63,0,,,,,OVC,,,,,,,,,
EGSH,observation,1564636800,EGSH,Norwich,2019-08-01 03:20:00,N,61,27,2700,Mostly Cloudy,,,59,61,94,29.82,6.0,61,250.0,WSW,,12,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGSH,observation,1564638600,EGSH,Norwich,2019-08-01 03:50:00,D,61,26,2600,Cloudy,,,59,61,94,29.82,6.0,61,250.0,WSW,,13,,,,,,Low,61,0,,,,,OVC,,,,,,,,,
EGSH,observation,1564640400,EGSH,Norwich,2019-08-01 04:20:00,D,61,26,2600,Cloudy,,,59,61,94,29.82,6.0,61,260.0,W,,10,,,,,,Low,61,0,,,,,OVC,,,,,,,,,
EGSH,observation,1564642200,EGSH,Norwich,2019-08-01 04:50:00,D,61,28,2800,Mostly Cloudy,,,59,61,94,29.82,5.0,61,260.0,W,,10,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGSH,observation,1564644000,EGSH,Norwich,2019-08-01 05:20:00,D,61,30,3000,Partly Cloudy,,,59,61,94,29.82,5.0,61,260.0,W,,10,,,,,,Low,61,0,,,,,SCT,,,,,,,,,
EGSH,observation,1564645800,EGSH,Norwich,2019-08-01 05:50:00,D,61,28,2800,Mostly Cloudy,,,59,61,94,29.85,4.0,61,260.0,W,,10,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
EGSH,observation,1564647600,EGSH,Norwich,2019-08-01 06:20:00,D,63,28,2800,Mostly Cloudy,,,59,63,88,29.85,4.0,63,250.0,WSW,,9,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGSH,observation,1564649400,EGSH,Norwich,2019-08-01 06:50:00,D,63,28,2800,Mostly Cloudy,,,59,63,88,29.85,4.0,63,260.0,W,,9,,,,,,Low,63,0,,,,,BKN,,,,,,,,,
EGSH,observation,1564651200,EGSH,Norwich,2019-08-01 07:20:00,D,63,28,2800,Mostly Cloudy,,,59,63,88,29.85,4.0,63,260.0,W,,9,,,,,,Low,63,1,,,,,BKN,,,,,,,,,
EGSH,observation,1564654800,EGSH,Norwich,2019-08-01 08:20:00,D,64,9,901,Light Drizzle,,,59,64,83,29.85,5.0,64,280.0,W,,9,,,,,,Low,64,1,,,,,BKN,,,,,,,,,
EGSH,observation,1564656600,EGSH,Norwich,2019-08-01 08:50:00,D,66,30,3000,Partly Cloudy,,,59,66,78,29.85,6.0,66,280.0,W,,10,,,,,,Low,66,2,,,,,SCT,,,,,,,,,
EGSH,observation,1564658400,EGSH,Norwich,2019-08-01 09:20:00,D,68,11,1201,Light Rain,,,61,68,78,29.87,6.0,68,280.0,W,,10,,,,,,Moderate,68,3,,,,,SCT,,,,,,,,,
EGSH,observation,1564660200,EGSH,Norwich,2019-08-01 09:50:00,D,68,30,3000,Partly Cloudy,,,59,68,73,29.87,6.0,68,290.0,WNW,,12,,,,,,Moderate,68,3,,,,,SCT,,,,,,,,,
EGSH,observation,1564662000,EGSH,Norwich,2019-08-01 10:20:00,D,66,11,1201,Light Rain,,,61,66,83,29.87,6.0,66,310.0,NW,,10,,,,,,Moderate,66,4,,,,,SCT,,,,,,,,,
EGSH,observation,1564663800,EGSH,Norwich,2019-08-01 10:50:00,D,70,30,3000,Partly Cloudy,,,59,70,68,29.87,6.0,70,310.0,NW,,9,,,,,,Moderate,70,4,,,,,SCT,,,,,,,,,
EGSH,observation,1564665600,EGSH,Norwich,2019-08-01 11:20:00,D,66,11,1101,Light Rain Shower,,,63,66,88,29.87,6.0,66,290.0,WNW,,10,,,,,,Moderate,66,4,,,,,SCT,,,,,,,,,
EGSH,observation,1564667400,EGSH,Norwich,2019-08-01 11:50:00,D,68,30,3000,Partly Cloudy,,,61,68,78,29.87,6.0,68,300.0,WNW,,9,,,,,,Moderate,68,5,,,,,SCT,,,,,,,,,
EGSH,observation,1564669200,EGSH,Norwich,2019-08-01 12:20:00,D,70,30,3000,Partly Cloudy,,,59,70,68,29.87,6.0,70,300.0,WNW,,13,,,,,,Moderate,70,5,,,,,SCT,,,,,,,,,
EGSH,observation,1564671000,EGSH,Norwich,2019-08-01 12:50:00,D,72,30,3000,Partly Cloudy,,,59,72,64,29.87,6.0,72,310.0,NW,,12,,,,,,Moderate,72,4,,,,,SCT,,,,,,,,,
EGSH,observation,1564672800,EGSH,Norwich,2019-08-01 13:20:00,D,72,30,3000,Partly Cloudy,,,57,72,60,29.87,6.0,72,320.0,NW,,10,,,,,,Moderate,72,4,,,,,SCT,,,,,,,,,
EGSH,observation,1564674600,EGSH,Norwich,2019-08-01 13:50:00,D,73,30,3000,Partly Cloudy,,,57,73,57,29.87,6.0,73,310.0,NW,,12,,,,,,Moderate,73,4,,,,,SCT,,,,,,,,,
EGSH,observation,1564676400,EGSH,Norwich,2019-08-01 14:20:00,D,73,30,3000,Partly Cloudy,,,59,73,61,29.87,6.0,73,330.0,NNW,,12,,,,,,Moderate,73,3,,,,,SCT,,,,,,,,,
