key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
EGHI,observation,1564642200,EGHI,Southampton,2019-08-01 04:50:00,D,48.0,20,2021,Shallow Fog,,,45.0,48.0,87.0,30.0,5.0,48.0,,CALM,,0,,,,,,Low,48.0,0,,,,,CLR,,,,,,,,,
EGHI,observation,1564644000,EGHI,Southampton,2019-08-01 05:20:00,D,48.0,34,3400,Fair,,,46.0,48.0,93.0,30.03,6.0,48.0,,CALM,,0,,,,,,Low,48.0,0,,,,,FEW,,,,,,,,,
EGHI,observation,1564645800,EGHI,Southampton,2019-08-01 05:50:00,D,50.0,30,3000,Partly Cloudy,,,46.0,50.0,87.0,30.03,6.0,50.0,,CALM,,0,,,,,,Low,50.0,0,,,,,SCT,,,,,,,,,
EGHI,observation,1564647600,EGHI,Southampton,2019-08-01 06:20:00,D,52.0,30,3000,Partly Cloudy,,,50.0,52.0,94.0,30.03,6.0,52.0,60.0,ENE,,1,,,,,,Low,52.0,0,,,,,SCT,,,,,,,,,
EGHI,observation,1564649400,EGHI,Southampton,2019-08-01 06:50:00,D,54.0,30,3000,Partly Cloudy,,,52.0,54.0,94.0,30.03,6.0,54.0,,CALM,,0,,,,,,Low,54.0,1,,,,,SCT,,,,,,,,,
EGHI,observation,1564651200,EGHI,Southampton,2019-08-01 07:20:00,D,57.0,30,3000,Partly Cloudy,,,54.0,57.0,88.0,30.03,6.0,57.0,,CALM,,0,,,,,,Low,57.0,1,,,,,SCT,,,,,,,,,
EGHI,observation,1564653000,EGHI,Southampton,2019-08-01 07:50:00,D,59.0,30,3000,Partly Cloudy,,,55.0,59.0,88.0,30.03,6.0,59.0,,VAR,,1,,,,,,Low,59.0,1,,,,,SCT,,,,,,,,,
EGHI,observation,1564654800,EGHI,Southampton,2019-08-01 08:20:00,D,63.0,34,3400,Fair,,,55.0,63.0,77.0,30.03,6.0,63.0,,VAR,,3,,,,,,Low,63.0,2,,,,,FEW,,,,,,,,,
EGHI,observation,1564656600,EGHI,Southampton,2019-08-01 08:50:00,D,64.0,34,3400,Fair,,,54.0,64.0,68.0,30.03,6.0,64.0,360.0,N,,5,,,,,,Moderate,64.0,3,,,,,FEW,,,,,,,,,
EGHI,observation,1564658400,EGHI,Southampton,2019-08-01 09:20:00,D,66.0,30,3000,Partly Cloudy,,,54.0,66.0,64.0,30.03,6.0,66.0,,VAR,,3,,,,,,Moderate,66.0,3,,,,,SCT,,,,,,,,,
EGHI,observation,1564660200,EGHI,Southampton,2019-08-01 09:50:00,D,66.0,30,3000,Partly Cloudy,,,54.0,66.0,64.0,30.03,6.0,66.0,330.0,NNW,,7,,,,,,Moderate,66.0,3,,,,,SCT,,,,,,,,,
EGHI,observation,1564662000,EGHI,Southampton,2019-08-01 10:20:00,D,66.0,30,3000,Partly Cloudy,,,52.0,66.0,60.0,30.03,6.0,66.0,340.0,NNW,,5,,,,,,Moderate,66.0,4,,,,,SCT,,,,,,,,,
EGHI,observation,1564663800,EGHI,Southampton,2019-08-01 10:50:00,D,66.0,30,3000,Partly Cloudy,,,54.0,66.0,64.0,30.03,6.0,66.0,360.0,N,,6,,,,,,Moderate,66.0,4,,,,,SCT,,,,,,,,,
EGHI,observation,1564665600,EGHI,Southampton,2019-08-01 11:20:00,D,68.0,30,3000,Partly Cloudy,,,54.0,68.0,60.0,30.03,6.0,68.0,320.0,NW,,5,,,,,,Moderate,68.0,5,,,,,SCT,,,,,,,,,
EGHI,observation,1564667400,EGHI,Southampton,2019-08-01 11:50:00,D,66.0,28,2800,Mostly Cloudy,,,54.0,66.0,64.0,30.03,6.0,66.0,330.0,NNW,,6,,,,,,Moderate,66.0,4,,,,,BKN,,,,,,,,,
EGHI,observation,1564669200,EGHI,Southampton,2019-08-01 12:20:00,D,68.0,28,2800,Mostly Cloudy,,,54.0,68.0,60.0,30.03,6.0,68.0,,VAR,,3,,,,,,Moderate,68.0,4,,,,,BKN,,,,,,,,,
EGHI,observation,1564671000,EGHI,Southampton,2019-08-01 12:50:00,D,68.0,28,2800,Mostly Cloudy,,,54.0,68.0,60.0,30.03,6.0,68.0,,VAR,,1,,,,,,Moderate,68.0,4,,,,,BKN,,,,,,,,,
EGHI,observation,1564672800,EGHI,Southampton,2019-08-01 13:20:00,D,70.0,30,3000,Partly Cloudy,,,54.0,70.0,56.0,30.03,6.0,70.0,,VAR,,3,,,,,,Moderate,70.0,4,,,,,SCT,,,,,,,,,
EGHI,observation,1564674600,EGHI,Southampton,2019-08-01 13:50:00,D,68.0,30,3000,Partly Cloudy,,,54.0,68.0,60.0,30.03,6.0,68.0,,VAR,,2,,,,,,Moderate,68.0,4,,,,,SCT,,,,,,,,,
EGHI,observation,1564676400,EGHI,Southampton,2019-08-01 14:20:00,D,70.0,34,3400,Fair,,,54.0,70.0,56.0,30.03,6.0,70.0,,VAR,,2,,,,,,Moderate,70.0,4,,,,,FEW,,,,,,,,,
EGHI,observation,1564678200,EGHI,Southampton,2019-08-01 14:50:00,D,70.0,34,3400,Fair,,,54.0,70.0,56.0,30.0,6.0,70.0,,VAR,,1,,,,,,Moderate,70.0,4,,,,,FEW,,,,,,,,,
EGHI,observation,1564680000,EGHI,Southampton,2019-08-01 15:20:00,D,72.0,34,3400,Fair,,,54.0,72.0,53.0,30.0,6.0,72.0,,VAR,,2,,,,,,Moderate,72.0,3,,,,,FEW,,,,,,,,,
EGHI,observation,1564681800,EGHI,Southampton,2019-08-01 15:50:00,D,72.0,34,3400,Fair,,,54.0,72.0,53.0,30.0,6.0,72.0,,VAR,,2,,,,,,Low,72.0,2,,,,,FEW,,,,,,,,,
EGHI,observation,1564683600,EGHI,Southampton,2019-08-01 16:20:00,D,72.0,34,3400,Fair,,,52.0,72.0,50.0,30.0,6.0,72.0,,VAR,,2,,,,,,Low,72.0,2,,,,,FEW,,,,,,,,,
EGHI,observation,1564685400,EGHI,Southampton,2019-08-01 16:50:00,D,73.0,34,3400,Fair,,,54.0,73.0,50.0,30.0,6.0,73.0,,VAR,,3,,,,,,Low,73.0,1,,,,,FEW,,,,,,,,,
EGHI,observation,1564687200,EGHI,Southampton,2019-08-01 17:20:00,D,72.0,34,3400,Fair,,,52.0,72.0,50.0,30.0,6.0,72.0,,VAR,,2,,,,,,Low,72.0,1,,,,,FEW,,,,,,,,,
EGHI,observation,1564689000,EGHI,Southampton,2019-08-01 17:50:00,D,70.0,34,3400,Fair,,,55.0,70.0,60.0,30.0,6.0,70.0,230.0,SW,,7,,,,,,Low,70.0,0,,,,,FEW,,,,,,,,,
EGHI,observation,1564690800,EGHI,Southampton,2019-08-01 18:20:00,D,70.0,34,3400,Fair,,,57.0,70.0,64.0,30.0,6.0,70.0,200.0,SSW,,9,,,,,,Low,70.0,0,,,,,FEW,,,,,,,,,
EGHI,observation,1564692600,EGHI,Southampton,2019-08-01 18:50:00,D,68.0,34,3400,Fair,,,55.0,68.0,64.0,30.0,6.0,68.0,210.0,SSW,,7,,,,,,Low,68.0,0,,,,,FEW,,,,,,,,,
EGHI,observation,1564694400,EGHI,Southampton,2019-08-01 19:20:00,D,68.0,34,3400,Fair,,,55.0,68.0,64.0,30.0,6.0,68.0,230.0,SW,,6,,,,,,Low,68.0,0,,,,,FEW,,,,,,,,,
EGHI,observation,1564696200,EGHI,Southampton,2019-08-01 19:50:00,D,66.0,34,3400,Fair,,,55.0,66.0,68.0,30.0,6.0,66.0,240.0,WSW,,5,,,,,,Low,66.0,0,,,,,FEW,,,,,,,,,
EGHI,observation,1564698000,EGHI,Southampton,2019-08-01 20:20:00,N,66.0,33,3300,Fair,,,55.0,66.0,68.0,30.03,6.0,66.0,,VAR,,2,,,,,,Low,66.0,0,,,,,FEW,,,,,,,,,
EGHI,observation,1564701600,EGHI,Southampton,2019-08-01 21:20:00,N,61.0,33,3300,Fair,,,57.0,61.0,88.0,30.03,6.0,61.0,,CALM,,0,,,,,,Low,61.0,0,,,,,FEW,,,,,,,,,
EGHI,observation,1564728600,EGHI,Southampton,2019-08-02 04:50:00,D,55.0,34,3400,Fair,,,54.0,55.0,94.0,30.03,6.0,55.0,330.0,NNW,,3,,,,,,Low,55.0,0,,,,,CLR,,,,,,,,,
EGHI,observation,1564730400,EGHI,Southampton,2019-08-02 05:20:00,D,57.0,34,3400,Fair,,,54.0,57.0,88.0,30.03,6.0,57.0,360.0,N,,6,,,,,,Low,57.0,0,,,,,CLR,,,,,,,,,
EGHI,observation,1564732200,EGHI,Southampton,2019-08-02 05:50:00,D,59.0,34,3400,Fair,,,55.0,59.0,88.0,30.06,6.0,59.0,10.0,N,,5,,,,,,Low,59.0,0,,,,,CLR,,,,,,,,,
EGHI,observation,1564734000,EGHI,Southampton,2019-08-02 06:20:00,D,61.0,34,3400,Fair,,,55.0,61.0,82.0,30.06,6.0,61.0,10.0,N,,5,,,,,,Low,61.0,0,,,,,CLR,,,,,,,,,
EGHI,observation,1564735800,EGHI,Southampton,2019-08-02 06:50:00,D,63.0,30,3000,Partly Cloudy,,,57.0,63.0,82.0,30.06,6.0,63.0,10.0,N,,5,,,,,,Low,63.0,1,,,,,SCT,,,,,,,,,
EGHI,observation,1564737600,EGHI,Southampton,2019-08-02 07:20:00,D,63.0,30,3000,Partly Cloudy,,,55.0,63.0,77.0,30.06,6.0,63.0,30.0,NNE,,7,,,,,,Low,63.0,1,,,,,SCT,,,,,,,,,
