key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
EGLL,observation,1564622400,EGLL,London/Heathrow,2019-07-31 23:20:00,N,64,33,3300,Fair,,,52,64,64,29.92,6,64,270.0,W,,8,,,,,,Low,64,0,,,,,CLR,,,,,,,,,
EGLL,observation,1564624200,EGLL,London/Heathrow,2019-07-31 23:50:00,N,63,33,3300,Fair,,,52,63,68,29.92,6,63,250.0,WSW,,8,,,,,,Low,63,0,,,,,CLR,,,,,,,,,
EGLL,observation,1564626000,EGLL,London/Heathrow,2019-08-01 00:20:00,N,63,33,3300,Fair,,,54,63,72,29.92,6,63,260.0,W,,9,,,,,,Low,63,0,,,,,CLR,,,,,,,,,
EGLL,observation,1564627800,EGLL,London/Heathrow,2019-08-01 00:50:00,N,63,29,2900,Partly Cloudy,,,55,63,77,29.92,6,63,260.0,W,,8,,,,,,Low,63,0,,,,,SCT,,,,,,,,,
EGLL,observation,1564629600,EGLL,London/Heathrow,2019-08-01 01:20:00,N,61,33,3300,Fair,,,55,61,82,29.92,6,61,250.0,WSW,,7,,,,,,Low,61,0,,,,,FEW,,,,,,,,,
EGLL,observation,1564631400,EGLL,London/Heathrow,2019-08-01 01:50:00,N,61,33,3300,Fair,,,55,61,82,29.92,6,61,250.0,WSW,,8,,,,,,Low,61,0,,,,,CLR,,,,,,,,,
EGLL,observation,1564633200,EGLL,London/Heathrow,2019-08-01 02:20:00,N,61,29,2900,Partly Cloudy,,,55,61,82,29.92,6,61,250.0,WSW,,8,,,,,,Low,61,0,,,,,SCT,,,,,,,,,
EGLL,observation,1564635000,EGLL,London/Heathrow,2019-08-01 02:50:00,N,59,33,3300,Fair,,,55,59,88,29.92,6,59,270.0,W,,8,,,,,,Low,59,0,,,,,FEW,,,,,,,,,
EGLL,observation,1564636800,EGLL,London/Heathrow,2019-08-01 03:20:00,N,61,33,3300,Fair,,,55,61,82,29.92,6,61,250.0,WSW,,7,,,,,,Low,61,0,,,,,CLR,,,,,,,,,
EGLL,observation,1564638600,EGLL,London/Heathrow,2019-08-01 03:50:00,N,59,27,2700,Mostly Cloudy,,,55,59,88,29.92,6,59,260.0,W,,7,,,,,,Low,59,0,,,,,BKN,,,,,,,,,
