,Unnamed: 0_home,h_a_home,xG_home,xGA_home,npxG_home,npxGA_home,deep_home,deep_allowed_home,scored_home,missed_home,xpts_home,result_home,date,wins_home,draws_home,loses_home,pts_home,npxGD_home,teamId_home,ppda_cal_home,allowed_ppda_home,matchtime_home,tot_points_home,round_home,tot_goal_home,tot_con_home,Referee.x,HS.x_home,HST.x_home,HF.x_home,HC.x_home,HY.x_home,HR.x_home,AS.x_home,AST.x_home,AF.x_home,AC.x_home,AY.x_home,AR.x_home,B365H.x_home,B365D.x_home,B365A.x_home,HtrgPerc_home,AtrgPerc_home,matchDay_home,Unnamed: 0_away,h_a_away,xG_away,xGA_away,npxG_away,npxGA_away,deep_away,deep_allowed_away,scored_away,missed_away,xpts_away,result_away,wins_away,draws_away,loses_away,pts_away,npxGD_away,teamId_away,ppda_cal_away,allowed_ppda_away,matchtime_away,tot_points_away,round_away,tot_goal_away,tot_con_away,HS.x_away,HST.x_away,HF.x_away,HC.x_away,HY.x_away,HR.x_away,AS.x_away,AST.x_away,AF.x_away,AC.x_away,AY.x_away,AR.x_away,B365H.x_away,B365D.x_away,B365A.x_away,HtrgPerc_away,AtrgPerc_away,matchDay_away,game_id,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
0,1,h,2.2345599999999997,0.842407,2.2345599999999997,0.842407,11,5,4,1,2.3863,w,2019-08-09 20:00:00,1,0,0,3,1.392153,Liverpool,5.9428571428571395,21.4545454545455,20,3,1,4,1,M Oliver,15,7,9,11,0,0,12,5,9,2,2,0,1.14,10.0,19.0,0.46666666666666706,0.4166666666666671,Fri,2,a,0.842407,2.2345599999999997,0.842407,2.2345599999999997,5,11,1,4,0.4405,l,0,0,1,0,-1.392153,Norwich,21.4545454545455,5.9428571428571395,20,0,1,1,4,15,7,9,11,0,0,12,5,9,2,2,0,1.14,10.0,19.0,0.46666666666666706,0.4166666666666671,Fri,20190809200000,Liverpool,observation,1565387400,EGGP,Liverpool,2019-08-09 20:00:00,D,66.0,30,3080,Showers in the Vicinity,,,63.0,66.0,88.0,29.2,6.0,66.0,160.0,SSE,,15.0,,,,,,Low,66.0,0,,,,,SCT,,,,,,,,,
1,1,h,2.2345599999999997,0.842407,2.2345599999999997,0.842407,11,5,4,1,2.3863,w,2019-08-09 20:00:00,1,0,0,3,1.392153,Liverpool,5.9428571428571395,21.4545454545455,20,3,1,4,1,M Oliver,15,7,9,11,0,0,12,5,9,2,2,0,1.14,10.0,19.0,0.46666666666666706,0.4166666666666671,Fri,2,a,0.842407,2.2345599999999997,0.842407,2.2345599999999997,5,11,1,4,0.4405,l,0,0,1,0,-1.392153,Norwich,21.4545454545455,5.9428571428571395,20,0,1,1,4,15,7,9,11,0,0,12,5,9,2,2,0,1.14,10.0,19.0,0.46666666666666706,0.4166666666666671,Fri,20190809200000,Liverpool,observation,1565387400,EGGP,Liverpool,2019-08-09 20:00:00,D,66.0,30,3080,Showers in the Vicinity,,,63.0,66.0,88.0,29.2,6.0,66.0,160.0,SSE,,15.0,,,,,,Low,66.0,0,,,,,SCT,,,,,,,,,
2,4,h,1.2003,3.18377,1.2003,2.4226400000000003,1,9,0,5,0.2522,l,2019-08-10 12:30:00,0,0,1,0,-1.22234,West Ham,16.4,6.93548387096774,12,0,1,0,5,M Dean,5,3,6,1,2,0,14,9,13,1,2,0,12.0,6.5,1.22,0.6,0.6428571428571429,Sat,3,a,3.18377,1.2003,2.4226400000000003,1.2003,9,1,5,0,2.6312,w,1,0,0,3,1.22234,Man City,6.93548387096774,16.4,12,3,1,5,0,5,3,6,1,2,0,14,9,13,1,2,0,12.0,6.5,1.22,0.6,0.6428571428571429,Sat,20190810123000,West Ham,observation,1565446800,EGLC,Newham,2019-08-10 12:30:00,D,72.0,28,2890,Mostly Cloudy / Windy,,,57.0,72.0,60.0,29.63,6.0,72.0,230.0,SW,37.0,23.0,,,,,,Moderate,72.0,3,,,,,BKN,,,,,,,,,
3,4,h,1.2003,3.18377,1.2003,2.4226400000000003,1,9,0,5,0.2522,l,2019-08-10 12:30:00,0,0,1,0,-1.22234,West Ham,16.4,6.93548387096774,12,0,1,0,5,M Dean,5,3,6,1,2,0,14,9,13,1,2,0,12.0,6.5,1.22,0.6,0.6428571428571429,Sat,3,a,3.18377,1.2003,2.4226400000000003,1.2003,9,1,5,0,2.6312,w,1,0,0,3,1.22234,Man City,6.93548387096774,16.4,12,3,1,5,0,5,3,6,1,2,0,14,9,13,1,2,0,12.0,6.5,1.22,0.6,0.6428571428571429,Sat,20190810123000,West Ham,observation,1565446800,EGLC,Newham,2019-08-10 12:30:00,D,72.0,28,2890,Mostly Cloudy / Windy,,,57.0,72.0,60.0,29.63,6.0,72.0,230.0,SW,37.0,23.0,,,,,,Moderate,72.0,3,,,,,BKN,,,,,,,,,
4,4,h,1.2003,3.18377,1.2003,2.4226400000000003,1,9,0,5,0.2522,l,2019-08-10 12:30:00,0,0,1,0,-1.22234,West Ham,16.4,6.93548387096774,12,0,1,0,5,M Dean,5,3,6,1,2,0,14,9,13,1,2,0,12.0,6.5,1.22,0.6,0.6428571428571429,Sat,3,a,3.18377,1.2003,2.4226400000000003,1.2003,9,1,5,0,2.6312,w,1,0,0,3,1.22234,Man City,6.93548387096774,16.4,12,3,1,5,0,5,3,6,1,2,0,14,9,13,1,2,0,12.0,6.5,1.22,0.6,0.6428571428571429,Sat,20190810123000,West Ham,observation,1565446800,EGLC,Newham,2019-08-10 12:30:00,D,72.0,28,2890,Mostly Cloudy / Windy,,,57.0,72.0,60.0,29.63,6.0,72.0,230.0,SW,37.0,23.0,,,,,,Moderate,72.0,3,,,,,BKN,,,,,,,,,
5,4,h,1.2003,3.18377,1.2003,2.4226400000000003,1,9,0,5,0.2522,l,2019-08-10 12:30:00,0,0,1,0,-1.22234,West Ham,16.4,6.93548387096774,12,0,1,0,5,M Dean,5,3,6,1,2,0,14,9,13,1,2,0,12.0,6.5,1.22,0.6,0.6428571428571429,Sat,3,a,3.18377,1.2003,2.4226400000000003,1.2003,9,1,5,0,2.6312,w,1,0,0,3,1.22234,Man City,6.93548387096774,16.4,12,3,1,5,0,5,3,6,1,2,0,14,9,13,1,2,0,12.0,6.5,1.22,0.6,0.6428571428571429,Sat,20190810123000,West Ham,observation,1565446800,EGLC,Newham,2019-08-10 12:30:00,D,72.0,28,2890,Mostly Cloudy / Windy,,,57.0,72.0,60.0,29.63,6.0,72.0,230.0,SW,37.0,23.0,,,,,,Moderate,72.0,3,,,,,BKN,,,,,,,,,
6,4,h,1.2003,3.18377,1.2003,2.4226400000000003,1,9,0,5,0.2522,l,2019-08-10 12:30:00,0,0,1,0,-1.22234,West Ham,16.4,6.93548387096774,12,0,1,0,5,M Dean,5,3,6,1,2,0,14,9,13,1,2,0,12.0,6.5,1.22,0.6,0.6428571428571429,Sat,3,a,3.18377,1.2003,2.4226400000000003,1.2003,9,1,5,0,2.6312,w,1,0,0,3,1.22234,Man City,6.93548387096774,16.4,12,3,1,5,0,5,3,6,1,2,0,14,9,13,1,2,0,12.0,6.5,1.22,0.6,0.6428571428571429,Sat,20190810123000,West Ham,observation,1565446800,EGLC,Newham,2019-08-10 12:30:00,D,72.0,28,2890,Mostly Cloudy / Windy,,,57.0,72.0,60.0,29.63,6.0,72.0,230.0,SW,37.0,23.0,,,,,,Moderate,72.0,3,,,,,BKN,,,,,,,,,
7,5,h,1.34099,1.59864,1.34099,1.59864,4,6,1,1,1.0172,d,2019-08-10 15:00:00,0,1,0,1,-0.25765,Bournemouth,13.6,9.13333333333333,15,1,1,1,1,K Friend,13,3,10,3,2,0,8,3,19,4,1,0,1.95,3.6,3.6,0.23076923076923103,0.375,Sat,10,a,1.59864,1.34099,1.59864,1.34099,6,4,1,1,1.5905,d,0,1,0,1,0.25765,Sheffield United,9.13333333333333,13.6,15,1,1,1,1,13,3,10,3,2,0,8,3,19,4,1,0,1.95,3.6,3.6,0.23076923076923103,0.375,Sat,20190810150000,Bournemouth,observation,1565455800,EGHH,Bournemouth,2019-08-10 15:00:00,D,66.0,28,2890,Mostly Cloudy / Windy,,,57.0,66.0,73.0,29.73,6.0,66.0,250.0,WSW,41.0,29.0,,,,,,Low,66.0,2,,,,,BKN,,,,,,,,,
8,7,h,0.909241,1.08752,0.909241,1.08752,0,9,3,0,1.1422,w,2019-08-10 15:00:00,1,0,0,3,-0.178279,Burnley,9.277777777777779,5.5,15,3,1,3,0,G Scott,10,4,6,2,0,0,11,3,12,7,0,0,2.62,3.2,2.75,0.4,0.272727272727273,Sat,11,a,1.08752,0.909241,1.08752,0.909241,9,0,0,3,1.5136,l,0,0,1,0,0.178279,Southampton,5.5,9.277777777777779,15,0,1,0,3,10,4,6,2,0,0,11,3,12,7,0,0,2.62,3.2,2.75,0.4,0.272727272727273,Sat,20190810150000,Burnley,observation,1565455800,EGNM,Leeds,2019-08-10 15:00:00,D,63.0,11,1101,Light Rain Shower,,,57.0,63.0,82.0,28.7,6.0,63.0,230.0,SW,36.0,20.0,,,,,,Moderate,63.0,3,,,,,SCT,,,,,,,,,
9,12,h,0.670022,0.8555159999999999,0.670022,0.8555159999999999,7,5,0,3,1.0922,l,2019-08-10 15:00:00,0,0,1,0,-0.185494,Watford,9.785714285714288,11.5,15,0,1,0,3,C Pawson,11,3,15,5,0,0,5,3,11,2,1,0,1.9,3.4,4.0,0.272727272727273,0.6,Sat,6,a,0.8555159999999999,0.670022,0.8555159999999999,0.670022,5,7,3,0,1.5458,w,1,0,0,3,0.185494,Brighton,11.5,9.785714285714288,15,3,1,3,0,11,3,15,5,0,0,5,3,11,2,1,0,1.9,3.4,4.0,0.272727272727273,0.6,Sat,20190810150000,Watford,observation,1565455800,EGLL,London/Heathrow,2019-08-10 15:00:00,D,68.0,11,1291,Light Rain / Windy,,,57.0,68.0,68.0,29.62,6.0,68.0,240.0,WSW,37.0,25.0,,,,,,Low,68.0,2,,,,,BKN,,,,,,,,,
