,Unnamed: 0,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,teamId,ppda_cal,allowed_ppda,matchtime,tot_points,round,tot_goal,tot_con,Referee.x,HS.x,HST.x,HF.x,HC.x,HY.x,HR.x,AS.x,AST.x,AF.x,AC.x,AY.x,AR.x,B365H.x,B365D.x,B365A.x,HtrgPerc,AtrgPerc,matchDay,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
0,15,a,1.13309,0.38055100000000003,1.13309,0.38055100000000003,10,1,1,0,2.073,w,2019-08-11 14:00:00,1,0,0,3,0.7525390000000001,Arsenal,11.052631578947402,13.2068965517241,14,3,1,1,0,M Atkinson,9,2,12,5,1,0,8,2,7,3,3,0,4.5,3.75,1.72,0.222222222222222,0.25,Sun,Arsenal,observation,1565538600,EGLC,Newham,2019-08-11 14:00:00,D,72,34,3400,Fair,,,52,72,50,29.81,6.0,72.0,230.0,SW,,17.0,,,,,,Moderate,72,4,,,,,FEW,,,,,,,,,
1,21,h,1.1644,1.39172,1.1644,1.39172,8,4,2,1,1.1533,w,2019-08-17 12:30:00,1,0,0,3,-0.22732,Arsenal,5.3125,11.3846153846154,12,6,2,3,1,M Dean,16,9,13,10,2,0,18,5,11,7,1,0,1.3,5.5,10.0,0.5625,0.277777777777778,Sat,Arsenal,observation,1566051600,EGLC,Newham,2019-08-17 12:30:00,D,72,28,2800,Mostly Cloudy,,,57,72,60,29.66,6.0,72.0,240.0,WSW,,14.0,,,,,,Moderate,72,3,,,,,BKN,,,,,,,,,
2,53,a,0.985542,2.78821,0.985542,2.02704,7,9,1,3,0.3434,l,2019-08-24 17:30:00,0,0,1,0,-1.041498,Arsenal,28.428571428571402,9.783783783783779,17,6,3,4,4,A Taylor,25,5,8,6,1,0,9,3,5,4,1,0,1.5,4.6,6.0,0.2,0.33333333333333304,Sat,Arsenal,observation,1566674400,EGLC,Newham,2019-08-24 17:30:00,D,82,34,3400,Fair,,,52,81,35,30.01,5.0,82.0,170.0,S,,8.0,,,,,,Low,81,0,,,,,CLR,,,,,,,,,
3,79,h,1.9250900000000002,1.95514,1.9250900000000002,1.19397,12,6,2,2,1.2919,d,2019-09-01 16:30:00,0,1,0,1,0.73112,Arsenal,6.78787878787879,12.176470588235302,16,7,4,6,6,M Atkinson,26,8,13,11,3,0,13,9,19,6,5,0,2.37,3.6,2.8,0.307692307692308,0.6923076923076921,Sun,Arsenal,observation,1567362000,EGLC,Newham,2019-09-01 16:30:00,D,68,34,3400,Fair,,,43,68,40,30.04,6.0,68.0,290.0,WNW,,12.0,,,,,,Low,68,1,,,,,CLR,,,,,,,,,
4,97,a,1.00616,2.83209,1.00616,2.07092,7,12,2,2,0.3084,d,2019-09-15 16:30:00,0,1,0,1,-1.06476,Arsenal,21.4166666666667,9.071428571428571,15,8,5,8,8,A Taylor,31,7,14,7,3,0,10,4,4,1,3,0,3.6,3.6,2.0,0.22580645161290303,0.4,Sun,Arsenal,observation,1568571600,EGLC,Newham,2019-09-15 16:30:00,D,79,34,3400,Fair,,,57,80,47,30.16,6.0,79.0,280.0,W,,6.0,,,,,,Low,80,1,,,,,CLR,,,,,,,,,
5,117,h,2.53209,1.7154599999999998,1.77093,1.7154599999999998,12,8,3,2,1.9361,w,2019-09-22 16:30:00,1,0,0,3,0.0554699999999999,Arsenal,9.1,11.0,15,11,6,11,10,J Moss,21,6,13,9,5,1,14,9,15,4,1,0,1.4,4.75,8.0,0.28571428571428603,0.6428571428571429,Sun,Arsenal,observation,1569176400,EGLC,Newham,2019-09-22 16:30:00,D,64,34,3400,Fair,,,57,64,77,29.66,6.0,64.0,210.0,SSW,,10.0,,,,,,Low,64,0,,,,,CLR,,,,,,,,,
6,139,a,1.7039900000000001,1.1335,1.7039900000000001,1.1335,7,5,1,1,1.825,d,2019-09-30 20:00:00,0,1,0,1,0.5704899999999999,Arsenal,10.125,5.925925925925929,19,12,7,12,11,K Friend,16,4,18,8,4,0,10,5,13,7,2,0,2.37,3.5,2.9,0.25,0.5,Mon,Arsenal,observation,1569880200,EGLC,Newham,2019-09-30 20:00:00,N,61,11,1201,Light Rain,,,57,61,88,29.63,6.0,61.0,170.0,S,,10.0,,,,,,Low,61,0,,,,,BKN,,,,,,,,,
7,153,h,1.24109,0.683967,1.24109,0.683967,10,7,1,0,1.8762,w,2019-10-06 14:00:00,1,0,0,3,0.5571229999999999,Arsenal,7.028571428571429,10.217391304347801,14,15,8,13,11,M Atkinson,12,2,12,14,1,0,10,2,6,5,2,0,1.44,4.75,7.0,0.166666666666667,0.2,Sun,Arsenal,observation,1570377000,EGLC,Newham,2019-10-06 14:00:00,D,63,30,3000,Partly Cloudy,,,48,63,59,29.78,6.0,63.0,280.0,W,,20.0,,,,,,Low,63,1,,,,,SCT,,,,,,,,,
8,179,a,0.949735,0.8957219999999999,0.949735,0.8957219999999999,8,6,0,1,1.3294,l,2019-10-21 20:00:00,0,0,1,0,0.054013,Arsenal,5.94444444444444,12.214285714285701,20,15,9,13,12,M Dean,8,2,10,7,4,0,9,3,12,12,4,0,3.9,3.75,1.9,0.25,0.33333333333333304,Mon,Arsenal,observation,1571694600,EGLC,Newham,2019-10-21 20:00:00,N,54,11,1201,Light Rain,,,48,54,82,30.16,6.0,54.0,300.0,WNW,,7.0,,,,,,Low,54,0,,,,,CLR,,,,,,,,,
9,195,h,1.54014,1.77892,1.54014,1.01775,8,1,2,2,1.1002,d,2019-10-27 16:30:00,0,1,0,1,0.5223899999999999,Arsenal,7.66666666666667,26.3,16,16,10,15,14,M Atkinson,15,6,18,12,2,0,10,4,9,5,0,0,1.45,4.75,6.5,0.4,0.4,Sun,Arsenal,observation,1572200400,EGLC,Newham,2019-10-27 16:30:00,D,54,34,3400,Fair,,,37,54,54,30.22,6.0,54.0,300.0,WNW,,6.0,,,,,,Low,54,0,,,,,CLR,,,,,,,,,
